Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL378627;;None;448.50;0;jan.92;SID103905196;COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL2002992;;None;286.38;0;feb.66;SID103905614;CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1;Ki;'>';2511.89;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jun
CHEMBL1979855;;None;466.55;1;maj.22;SID103904847;CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCC#N)c2)n1;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1966703;;None;325.39;0;4.jun;SID103905100;Cc1n[nH]c2c1C(c1ccccc1F)C1=C(CC(C)(C)CC1=O)N2;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1988387;;None;506.54;2;jun.19;SID103904292;Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)csc23)cn1;Ki;'=';31.62;nM;jul.50;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;7.maj
CHEMBL101253;VATALANIB;3.0;346.82;1;5.jan;SID103905548;Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
CHEMBL1971606;;None;378.45;1;maj.17;SID103904583;CCCOc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3F)cc2)c1;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
CHEMBL482767;SNS-314;1.0;430.95;1;5.okt;SID103905586;O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1;Ki;'>';3162.28;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.maj
CHEMBL1997924;;None;362.46;0;apr.65;SID103905272;c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1;Ki;'=';79.43;nM;7.okt;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;7.jan
CHEMBL1998611;;None;305.58;0;3.00;SID103905308;NC(=O)c1sc2c(Br)ccc(Cl)c2c1N;Ki;'=';316.23;nM;jun.50;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.maj
CHEMBL1987998;;None;331.80;0;mar.44;SID103904930;O=C(O)C1CN(Cc2ccc(OCc3ccccc3)cc2Cl)C1;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
CHEMBL242865;;None;351.32;0;mar.57;SID103904590;O=C(O)c1ccccc1Nc1ccnc(Nc2ccc([N+](=O)[O-])cc2)n1;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
CHEMBL2002480;;None;211.23;0;jan.37;SID103905416;Nc1nc2ncc(-c3ccccc3)cn2n1;Ki;'=';50118.72;nM;apr.30;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;4.mar
CHEMBL1967094;;None;367.86;0;apr.87;SID103904999;O=C(NCc1ccc(Cl)cc1)c1cc2c(-c3ccccc3)n[nH]c2s1;Ki;'=';1258.93;nM;maj.90;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.sep
CHEMBL1990708;;None;284.28;0;jan.26;SID103904800;CCOC(=O)c1c[nH]n2c(=O)cc(-c3ccncc3)nc12;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1999590;;None;344.38;0;mar.68;SID103905140;Cc1cc(-c2ccccc2)n(-c2cc(NN=Cc3ccco3)ncn2)n1;Ki;'=';501.19;nM;jun.30;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.mar
CHEMBL2000429;;None;468.51;0;apr.35;SID103904769;CC(C)Oc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12;Ki;'=';1995.26;nM;maj.70;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jul
CHEMBL1164265;;None;470.96;0;apr.26;SID103905575;CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1;Ki;'=';199.53;nM;jun.70;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.jul
CHEMBL1977138;;None;358.38;0;4.00;SID103904818;CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F;Ki;'=';630.96;nM;jun.20;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.feb
CHEMBL1978448;;None;331.40;0;jan.70;SID103904912;CS(=O)(=O)N(Cc1ccc2[nH]c(=O)c3cccn3c2c1)C1CC1;Ki;'>';2511.89;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jun
CHEMBL2004513;;None;344.37;0;apr.45;SID103904724;COC(=O)c1ccccc1-c1ccc2c(c1)Nc1ccccc1NC2=O;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1090356;;None;587.71;2;jun.28;SID103904417;O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1;Ki;'=';2511.89;nM;maj.60;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jun
CHEMBL1999112;;None;409.42;0;1.sep;SID103905318;CCOC(=O)C1=c2sc(=Cc3ccco3)c(=O)n2C(N)=C(C#N)C1c1ccco1;Ki;'=';1584.89;nM;maj.80;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.avg
CHEMBL1986855;;None;348.38;0;apr.38;SID103904233;COc1ccc(CNc2cc(-c3c[nH]c4ncccc34)cc(F)n2)cc1;Ki;'=';7.943;nM;8.okt;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;8.jan
